English;Russian;German;Italian;French;Spanish

To start learning;You have to build an institute to research new technologies .;Чтобы начать изучать новые технологии, вам нужно построить институт.;;;;

Builder training;Builder training;Тренировка строителей;;;;
ResourceMining;Resource Mining;Добыча Ресурсов;;;;
Blueprints;Blueprints;Чертежи;;;;


Building;Building;Строительство;;;;
Construction improvement;Construction improvement;Улучшение конструкций;;;;
ResourceProcessing;Resource Processing;Обработка Ресурсов;;;;


Workbench Upgrades;Workbench Upgrades;Улучшение верстаков;;;;
Blast furnace;Blast furnace;Доменная печь;;;;
First skills;First skills;Первые Умения;;;;

RustyTools;Rusty tools;Ржавые Инструменты;Rusty tools;;;
Bar;Bar;Слитки;Bar;;;
Wood processing;Wood processing;Переработка дерева;Wood processing;;;
