English;Russian;German;Italian;French;Spanish


Volume;Volume;Громкость;;;;
Music;Music;Музыка;;;;
Sounds;Sounds;Звуки;;;;


Notifications;Notifications;Уведомления;;;;
Show Idle Away;Show Idle Away;Панель отсутствия;;;;
Show Info panel;Show Info panel;Информация;;;;
Show Push Messages;Show Push Messages;Push сообщения;;;;
Show quest on start;Show quest on the start;Квест при входе;;;;


Languages;Languages;Языки;Sprache;;;
Contacts;Contacts;Контакты;;;;
New Game;New Game;Новая Игра;;;;
Rate Us;Rate Us;Оцените нас;;;;
sign out;Sign Out;Выйти из учетной записи;;;;

ContactsInfo;Please send us your suggestions and ideas for the game, report bugs or ask questions;Пожалуйста, присылайте нам свои предложения и идеи по игре, сообщайте об ошибках или задавайте вопросы;;;;
RateUsInfo;Support us by rating in google play;Пожалуйста, оцените приложение;;;;
Send email;Send email;Написать сообщение;;;;
RateUs;Rate Us;Оценить игру;;;;
Not now;Not now;Позже;;;;


Story;Story;Сюжет;;;;
Confrontation;Confrontation;Противостояние;;;;
Survival;Survival;Выживание;;;;
NewGameInfo;Are you sure you want to start the game over?\nAll gameplay will be lost;Вы уверены, что хотите начать игру заново?\nВесь игровой процесс будет потерян;;;;

BuildCamp; * Build The Camp; * Восстановить город;;;;
CanYouResist;Can you resist the Indians who hate you?;Сможете ли Вы сопротивляться Индейцам которые Вас не навидят;;;;
HowLong;How long can you hold out until the Indians or bandits take over your Town?;Как долго Вы сможете продержаться пока индейцы или бандиты уничтожат Ваш город;;;;
